厳しい;厳[きび]しい
厳か;厳[おごそ]か
威厳;威厳[いげん]
厳粛;厳粛[げんしゅく]
簡単;簡単[かんたん]
簡易;簡易[かんい]
簡素;簡素[かんそ]
素晴らしい;素晴[すば]らしい
素朴;素朴[そぼく]
炭素;炭素[たんそ]
素直;素直[すなお]
酸素;酸素[さんそ]
窒素;窒素[ちっそ]
素敵;素敵[すてき]
素人;素人[しろうと]
素早い;素早[すばや]い
味の素;味の素[あじのもと]
(親)孝行;(親)孝行[(おや)こうこう]
不孝;不孝[ふこう]
-殿;-殿[どの]
御殿;御殿[ごてん]
殿下;殿下[でんか]
宮殿;宮殿[きゅうでん]
~業;~業[ぎょう]
お凸;お凸[とつ]
凹凸;凹凸[おうとつ]
凸凹;凸凹[でこぼこ]
凸版;凸版[とっぱん]
お勧め;お勧[すす]め
勧告;勧告[かんこく]
勧誘;勧誘[かんゆう]
お姉さん;お姉[ねえ]さん
姉;姉[あね]
姉妹;姉妹[しまい]
お嬢さん;お嬢[じょう]さん
令嬢;令嬢[れいじょう]
お尻;お尻[しり]
尻尾;尻尾[しっぽ]
お湯;お湯[ゆ]
熱湯;熱湯[ねっとう]
銭湯;銭湯[せんとう]
お礼;お礼[れい]
礼儀;礼儀[れいぎ]
お願い;お願[ねが]い
願う;願[ねが]う
祈願;祈願[きがん]
ご免;ご免[めん]
免れる;免[まぬか]れる
免許;免許[めんきょ]
免責;免責[めんせき]
ご無沙汰;ご無沙汰[ぶさた]
取り沙汰;取り沙汰[とりざた]
一隻;一隻[いっせき]
隻語;隻語[せきご]
隻手;隻手[せきしゅ]
一介;一介[いっかい]
紹介;紹介[しょうかい]
厄介;厄介[やっかい]
一件;一件[いっけん]
事件;事件[じけん]
一個;一個[いっこ]
個人;個人[こじん]
一斉;一斉[いっせい]
均斉;均斉[きんせい]
斉唱;斉唱[せいしょう]
一疋;一疋[いっぴき]
一緒;一緒[いっしょ]
内緒;内緒[ないしょ]
由緒;由緒[ゆいしょ]
一般;一般[いっぱん]
全般;全般[ぜんぱん]
一覧;一覧[いちらん]
観覧;観覧[かんらん]
ご覧になる;ご覧[らん]になる
丁寧;丁寧[ていねい]
丁度;丁度[ちょうど]
一丁;一丁[いっちょう]
丈;丈[たけ]
背丈;背丈[せたけ]
丈夫;丈夫[じょうぶ]
下痢;下痢[げり]
赤痢;赤痢[せきり]
不;不[ふ]
不朽;不朽[ふきゅう]
