莫大;莫大[ばくだい]
一疋;一疋[いっぴき]
也;也[なり]
柴;柴[しば]
砦;砦[とりで]
城砦;城砦[じょうさい]
些か;些[いささ]か
些とも;些[ちっ]とも
髭;髭[ひげ]
禽;禽[とり]
家禽;家禽[かきん]
林檎;林檎[りんご]
憐れ;憐[あわ]れ
可憐;可憐[かれん]
哀憐;哀憐[あいれん]
自己憐憫;自己[じこ] 憐憫[れんびん]
燐;燐[りん]
燐酸;燐酸[りんさん]
麒麟;麒麟[きりん]
鱗;鱗[うろこ]
奄々;奄々[えんえん]
奄美(人地名);奄美[あまみ] (人地名)
奄美大島;奄美大島[あまみおおしま] - island off of 沖縄
庵;庵[あん]
沢庵;沢庵[たくあん]
掩う;掩[おお]う
掩護;掩護[えんご]
改悛;改悛[かいしゅん]
悔悛;悔悛[かいしゅん]
駿馬;駿馬[しゅんめ]
駿才（俊才);駿才[しゅんさい]（俊才)
険峻;険峻[けんしゅん]
竣工;竣工[しゅんこう]
竣功;竣功[しゅんこう]
竣成;竣成[しゅんせい]
舅;舅[しゅうと]
小舅;小舅[こじゅうと]
鼠;鼠[ねずみ]
栗鼠;栗鼠[りす]
鑿;鑿[のみ]
開鑿;開鑿[かいさく]
一艘;一艘[いっそう]
犀;犀[さい]
皐月;皐月[さつき]
畷;畷[なわて]
綴り;綴[つづ]り
綴じる;綴[と]じる
綴字;綴字[ていじ]
鎧;鎧[よろい]
鎧一具;鎧一具[よろいいちぐ]
鎧鼠;鎧鼠[よろいねずみ]
凱旋;凱旋[がいせん]
凱歌;凱歌[がいか]
呑む;呑[の]む
呑気;呑気[のんき]
湯呑み;湯呑[ゆの]み
呑吐;呑吐[どんと]
韮;韮[にら]
籤;籤[くじ]
宝籤;宝籤[たからくじ]
懺悔;懺悔[ざんげ]
反芻;反芻[はんすう]
雛;雛[ひな]
雛祭り;雛[ひな] 祭[まつ]り
趨向;趨向[すうこう]
尤度;尤度[ゆうど]
ご尤も;ご 尤[もっと]も
尤もらしい;尤[もっと]もらしい
厖大;厖大[ぼうだい]
或;或[ある]
兎;兎[うさぎ]
尭々;尭々[ぎょうぎょう]
三つ巴;三つ巴[みつどもえ]
巴里;巴里[ぱり]
欧羅巴;欧羅巴[ヨーロッパ]
巴奈馬;巴奈馬[パナマ]
甫て;甫[はじめ]て
菫;菫[すみれ]
菫色;菫色[すみれいろ]
云う;云[い]う
云々;云々[うんぬん]
卜;卜[うらない]
卜する;卜[ぼく]する
卜占;卜占[ぼくせん]
喬木;喬木[きょうぼく]
倭;倭[やまと]
倭国;倭国[わのくに]
任侠;任侠[にんきょう]
仁侠;仁侠[にんきょう]
遊侠;遊侠[ゆうきょう]
義侠;義侠[ぎきょう]
倦む;倦[う]む
倦む;倦[あぐ]む
倦ねる;倦[あぐ]ねる
立正佼成会;立正佼成会[りっしょうこうせいかい]
俄;俄[にわか]
俄に;俄[にわか]に
俄然;俄然[がぜん]
佃;佃[つくだ]
伶人;伶人[れいじん]
仔犬;仔犬[こいぬ]
仔猫;仔猫[こねこ]
仇;仇[あだ]
仇名;仇名[あだな]
仇する;仇[あだ]する
仇敵;仇敵[きゅうてき]
仇になる;仇[あだ]になる
お伽;お 伽[とぎ]
お伽話;お伽話[とぎばなし]
僻む;僻[ひが]む
儲け;儲[もう]け
儲ける;儲[もう]ける
金儲け;金儲[かねもう]け
僥倖;僥倖[ぎょうこう]
和僑;和僑[わきょう]
侃侃諤諤;侃侃諤諤[かんかんがくがく]
